
基岩版：

为了便于表示，在下面列出了各生物群系名称，但这些名称实际上并不显示在游戏中。

名称	命名空间ID	数字ID
海洋	ocean	0
平原	plains	1
沙漠	desert	2
风袭丘陵	extreme_hills	3
森林	forest	4
针叶林	taiga	5
沼泽	swampland	6
河流	river	7
下界荒地	hell	8
末地	the_end	9
冻洋（旧版）	legacy_frozen_ocean	10
冻河	frozen_river	11
雪原	ice_plains	12
雪山	ice_mountains	13
蘑菇岛	mushroom_island	14
蘑菇岛岸	mushroom_island_shore	15
沙滩	beach	16
沙漠丘陵	desert_hills	17
繁茂的丘陵	forest_hills	18
针叶林丘陵	taiga_hills	19
山地边缘	extreme_hills_edge	20
丛林	jungle	21
丛林丘陵	jungle_hills	22
稀疏丛林	jungle_edge	23
深海	deep_ocean	24
石岸	stone_beach	25
积雪沙滩	cold_beach	26
桦木森林	birch_forest	27
桦木森林丘陵	birch_forest_hills	28
黑森林	roofed_forest	29
积雪针叶林	cold_taiga	30
积雪的针叶林丘陵	cold_taiga_hills	31
原始松木针叶林	mega_taiga	32
巨型针叶林丘陵	mega_taiga_hills	33
风袭森林	extreme_hills_plus_trees	34
热带草原	savanna	35
热带高原	savanna_plateau	36
恶地	mesa	37
繁茂的恶地高原	mesa_plateau_stone	38
恶地高原	mesa_plateau	39
暖水海洋	warm_ocean	40
暖水深海	deep_warm_ocean	41
温水海洋	lukewarm_ocean	42
温水深海	deep_lukewarm_ocean	43
冷水海洋	cold_ocean	44
冷水深海	deep_cold_ocean	45
冻洋	frozen_ocean	46
冰冻深海	deep_frozen_ocean	47
竹林	bamboo_jungle	48
竹林丘陵	bamboo_jungle_hills	49
向日葵平原	sunflower_plains	129
沙漠湖泊	desert_mutated	130
风袭沙砾丘陵	extreme_hills_mutated	131
繁花森林	flower_forest	132
针叶林山地	taiga_mutated	133
沼泽丘陵	swampland_mutated	134
冰刺之地	ice_plains_spikes	140
丛林变种	jungle_mutated	149
丛林边缘变种	jungle_edge_mutated	151
原始桦木森林	birch_forest_mutated	155
高大桦木丘陵	birch_forest_hills_mutated	156
黑森林丘陵	roofed_forest_mutated	157
积雪的针叶林山地	cold_taiga_mutated	158
原始云杉针叶林	redwood_taiga_mutated	160
巨型云杉针叶林丘陵	redwood_taiga_hills_mutated	161
沙砾山地+	extreme_hills_plus_trees_mutated	162
风袭热带草原	savanna_mutated	163
破碎的热带高原	savanna_plateau_mutated	164
风蚀恶地	mesa_bryce	165
繁茂的恶地高原变种	mesa_plateau_stone_mutated	166
恶地高原变种	mesa_plateau_mutated	167
灵魂沙峡谷	soulsand_valley	178
绯红森林	crimson_forest	179
诡异森林	warped_forest	180
玄武岩三角洲	basalt_deltas	181
尖峭山峰	jagged_peaks	182
冰封山峰	frozen_peaks	183
积雪山坡	snowy_slopes	184
雪林	grove	185
草甸	meadow	186
繁茂洞穴	lush_caves	187
溶洞	dripstone_caves	188
裸岩山峰	stony_peaks	189
深暗之域	deep_dark	190
红树林沼泽	mangrove_swamp	191
樱花树林	cherry_grove	192
苍白之园	pale_garden	193
硫黄洞穴[实验性玩法“2026 年第 2 次更新”新增]	sulfur_caves	194
